id;name;price;description;picture;picture_content_type;specification;specification_content_type;category;inventory
1;Steel;31485;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;github.cloud.capitalone.com;image/png;Rehydration;Python
2;South support navigate;81149;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;github.cloud.capitalone.com;image/png;Cost;Angular
3;reboot;92572;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;github.cloud.capitalone.com;image/png;Cost;22076
4;Track actuating deposit;44573;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;github.cloud.capitalone.com;image/png;Vulnerability;13165
5;Card;44325;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;github.cloud.capitalone.com;image/png;Rehydration;40879
6;Michigan throughput Union;82822;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;github.cloud.capitalone.com;image/png;Compliance;55080
7;initiative Generic;32770;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;github.cloud.capitalone.com;image/png;None;48018
8;neutral;4184;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;github.cloud.capitalone.com;image/png;Vulnerability;23281
9;digital;56622;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;github.cloud.capitalone.com;image/png;Cost;95238
10;orange Practical;80588;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;github.cloud.capitalone.com;image/png;Rehydration;35518
